surface_id,surface,label,count,status,reason,canonical,label_final,label_conflict,labels_seen,package_count,document_count,example_sentence_id,example_text,example_path
sf_9affe1bc1f34ef94,xe dưới 7 chỗ ngồi,VEHICLE,1,review,low_frequency,xe dưới 7 chỗ ngồi,VEHICLE,False,VEHICLE:1,1,1,130_2024_nd_cp.dieu_8.khoan_2.diem_b.passage.s002,xe dưới 7 chỗ ngồi,"130/2024/ND-CP > Chương II. QUY ĐỊNH CHUNG VỀ THU PHÍ SỬ DỤNG ĐƯỜNG BỘ CAO TỐC > Điều 8. Chứng từ thu phí sử dụng đường bộ cao tốc, vé đường bộ toàn quốc đối với xe ô tô của lực lượng quốc phòng, Công an > Khoản 2. Vé đường bộ toàn quốc áp dụng riêng đối với xe ô tô của lực lượng quốc phòng, công an đã nộp phí sử dụng đường bộ thu qua đầu phương tiện đối với xe ô tô, gồm: > Điểm b. Vé đường bộ toàn quốc áp dụng đối với xe của Bộ Công an bao gồm các thông tin sau: Cơ quan phát hành là Cục Đường bộ Việt Nam; loại phương tiện sử dụng gồm 02 loại (xe dưới 7 chỗ ngồi và xe ô tô từ 7 chỗ ngồi trở lên, xe khách, xe vận tải, xe ô tô chuyên dùng); kích cỡ vé có chiều dài nhân (x) chiều rộng là 12 cm x 8 cm; có màu sắc nền vé màu vàng có gạch màu đỏ dọc theo thân vé ở vị trí 1/3 vé tính từ trái sang phải, chữ và số màu đen; biển số xe."
sf_72c13c4c62c6fdc4,xe hạng b,VEHICLE,1,review,low_frequency,xe hạng b,VEHICLE,True,VEHICLE:1; CONDITION:1,1,1,12_2025_tt_bca.phu_luc_iv_quy_trinh_sat_hach_lai_xe_cac_hang_b_c1_c_d1_d2_va_d.table_12.row_2.passage.s001,xe hạng B,"Phụ lục IV > QUY TRÌNH SÁT HẠCH LÁI XE CÁC HẠNG B, C1, C, D1, D2 VÀ D > Bảng 12 > Dòng 2"
sf_a7ea2816f6299ea9,"xe hạng c1, c, d",VEHICLE,1,review,low_frequency,"xe hạng c1, c, d",VEHICLE,False,VEHICLE:1,1,1,12_2025_tt_bca.phu_luc_iv_quy_trinh_sat_hach_lai_xe_cac_hang_b_c1_c_d1_d2_va_d.table_12.row_2.passage.s001,"xe hạng C1, C, D","Phụ lục IV > QUY TRÌNH SÁT HẠCH LÁI XE CÁC HẠNG B, C1, C, D1, D2 VÀ D > Bảng 12 > Dòng 2"
sf_5eb08885de7dcc15,"xe hạng d1, d2",VEHICLE,1,review,low_frequency,"xe hạng d1, d2",VEHICLE,False,VEHICLE:1,1,1,12_2025_tt_bca.phu_luc_iv_quy_trinh_sat_hach_lai_xe_cac_hang_b_c1_c_d1_d2_va_d.table_12.row_2.passage.s001,"xe hạng D1, D2","Phụ lục IV > QUY TRÌNH SÁT HẠCH LÁI XE CÁC HẠNG B, C1, C, D1, D2 VÀ D > Bảng 12 > Dòng 2"
sf_a19577e6e42a23dc,xe hợp đồng,VEHICLE,1,review,low_frequency,xe hợp đồng,VEHICLE,False,VEHICLE:1,1,1,158_2024_nd_cp.dieu_76.khoan_3.diem_a.passage.s001,xe hợp đồng,"158/2024/ND-CP > Chương V. ĐIỀU KHOẢN THI HÀNH > Điều 76. Điều khoản chuyển tiếp > Khoản 3. Quy định việc chuyển tiếp về cấp và sử dụng phù hiệu đối với xe ô tô kinh doanh vận tải > Điểm a. Đối với xe tuyến cố định, xe buýt, xe taxi, xe tải, xe công-ten-nơ, xe đầu kéo, xe hợp đồng đã được cấp phù hiệu trước ngày Nghị định này có hiệu lực thi hành không phải thực hiện cấp lại cho đến khi hết hiệu lực hoặc đến khi thực hiện cấp lại;"
sf_0288334b9617d9b1,xe kiểm soát,VEHICLE,1,review,low_frequency,xe kiểm soát,VEHICLE,False,VEHICLE:1,1,1,130_2024_nd_cp.dieu_6.khoan_3.passage.s001,xe kiểm soát,"130/2024/ND-CP > Chương II. QUY ĐỊNH CHUNG VỀ THU PHÍ SỬ DỤNG ĐƯỜNG BỘ CAO TỐC > Điều 6. Đối tượng miễn thu phí > Khoản 3. Xe chuyên dùng phục vụ quốc phòng bao gồm các xe mang biển số: Nền màu đỏ, chữ và số màu trắng dập chìm có gắn các thiết bị chuyên dụng cho quốc phòng (bao gồm: Xe xi téc, xe cần cẩu, xe chở lực lượng vũ trang hành quân được hiểu là xe ô tô chở người có từ 12 chỗ ngồi trở lên, xe vận tải có mui che và được lắp đặt ghế ngồi trong thùng xe, xe kiểm soát, xe kiểm tra quân sự, xe chuyên dùng chở phạm nhân, xe cứu hộ, cứu nạn, xe thông tin vệ tinh, các xe ô tô đặc chủng khác phục vụ quốc phòng), xe đang đi làm nhiệm vụ khẩn cấp sử dụng một trong các tín hiệu ưu tiên theo quy định của pháp luật trong trường hợp làm nhiệm vụ khẩn cấp."
sf_fdb507e5ace0ce48,xe kiểm tra quân sự,VEHICLE,1,review,low_frequency,xe kiểm tra quân sự,VEHICLE,False,VEHICLE:1,1,1,130_2024_nd_cp.dieu_6.khoan_3.passage.s001,xe kiểm tra quân sự,"130/2024/ND-CP > Chương II. QUY ĐỊNH CHUNG VỀ THU PHÍ SỬ DỤNG ĐƯỜNG BỘ CAO TỐC > Điều 6. Đối tượng miễn thu phí > Khoản 3. Xe chuyên dùng phục vụ quốc phòng bao gồm các xe mang biển số: Nền màu đỏ, chữ và số màu trắng dập chìm có gắn các thiết bị chuyên dụng cho quốc phòng (bao gồm: Xe xi téc, xe cần cẩu, xe chở lực lượng vũ trang hành quân được hiểu là xe ô tô chở người có từ 12 chỗ ngồi trở lên, xe vận tải có mui che và được lắp đặt ghế ngồi trong thùng xe, xe kiểm soát, xe kiểm tra quân sự, xe chuyên dùng chở phạm nhân, xe cứu hộ, cứu nạn, xe thông tin vệ tinh, các xe ô tô đặc chủng khác phục vụ quốc phòng), xe đang đi làm nhiệm vụ khẩn cấp sử dụng một trong các tín hiệu ưu tiên theo quy định của pháp luật trong trường hợp làm nhiệm vụ khẩn cấp."
sf_cc37939e28d9c8ee,xe kéo,VEHICLE,1,review,low_frequency,xe kéo,VEHICLE,False,VEHICLE:1,1,1,14_2025_tt_bxd.phu_luc_xxi_mau_ten_co_so_dao_tao.appendix_bullet_unknown_4.passage.s001,xe kéo,"Phụ lục XXI > MẪU TÊN CƠ SỞ ĐÀO TẠO > 1. Vị trí: > - Hai bên cửa của xe kéo đối với xe ô tô hạng BE, C1E, CE, D1E, D2E, DE."
sf_a2d39ab7419fe20f,xe kéo theo rơ moóc,VEHICLE,1,review,low_frequency,xe kéo theo rơ moóc,VEHICLE,False,VEHICLE:1,1,1,12_2025_tt_bxd.dieu_22.khoan_3.diem_b.passage.s001,Xe kéo theo rơ moóc,"12/2025/TT-BXD > Chương VI. CẤP GIẤY PHÉP LƯU HÀNH XE QUÁ TẢI TRỌNG, XE QUÁ KHỔ GIỚI HẠN, XE BÁNH XÍCH, XE VẬN CHUYỂN HÀNG SIÊU TRƯỜNG, SIÊU TRỌNG TRÊN ĐƯỜNG BỘ > Điều 22. Quy định chung về cấp giấy phép lưu hành xe quá tải trọng, xe quá khổ giới hạn, xe bánh xích, xe vận chuyển hàng siêu trường, siêu trọng trên đường bộ > Khoản 3. Không cấp giấy phép lưu hành xe đối với các trường hợp: > Điểm b. Xe kéo theo rơ moóc, sơ mi rơ moóc mà khối lượng toàn bộ (bao gồm khối lượng bản thân rơ moóc, sơ mi rơ moóc và khối lượng hàng hóa xếp trên rơ moóc, sơ mi rơ moóc) của rơ moóc, sơ mi rơ moóc vượt quá khối lượng cho phép kéo theo thiết kế của xe kéo được ghi trong giấy chứng nhận kiểm định an toàn kỹ thuật và bảo vệ môi trường của xe kéo."
sf_adb7027e1d2b968c,xe lu đường,VEHICLE,1,review,low_frequency,xe lu đường,VEHICLE,False,VEHICLE:1,1,1,12_2025_tt_bxd.phu_luc_xi_huong_dan_xep_hang_hoa_la_phuong_tien_van_tai_may_moc_thiet_bi_ky_thuat.p_15.passage.s002,xe lu đường,"Phụ lục XI > HƯỚNG DẪN XẾP HÀNG HÓA LÀ PHƯƠNG TIỆN VẬN TẢI, MÁY MÓC, THIẾT BỊ KỸ THUẬT > 1. Xếp hàng hóa là máy móc, thiết bị kỹ thuật trong khi vận chuyển > h) Máy móc, thiết bị được vận chuyển cần phải được kiểm tra sau khi phương tiện đã đi được một quãng đường ngắn để đảm bảo rằng không có một di chuyển nào xảy ra và các thiết bị cố định được xiết chặt. Việc kiểm tra phải được thực hiện thường xuyên trong suốt hành trình. > Đoạn 15"
